category,Webname,Weburl
,Open Site: Video Games ,http://open-site.org/Games/Video_Games/
,PBS - The Video Game Revolution ,http://www.pbs.org/kcts/videogamerevolution/
,Peter Zackariasson ,http://zackariasson.wordpress.com/
,And Alice Played a Video Game ,http://www.literature-study-online.com/essays/alice_video.html
,Hardware Central ,http://www.hardwarecentral.com/
,VLSI Discussion Forum ,http://www.vlsibank.com/
,Pen & Paper ,http://www.pen-paper.net/
,Alan De Smet - Role-Playing Games ,http://www.highprogrammer.com/alan/gaming/
,ENnie Awards ,http://www.ennie-awards.com/
,Errant Dreams ,http://www.errantdreams.com/
,GameWyrd ,http://www.gamewyrd.com/
,GreeneThorne's Realm ,http://greenethorne.tripod.com/
,KMANT - Killing Monsters And Nicking Treasure ,http://www.kmant.com/
,The Ogmios Project ,http://www.ogmiosproject.org/
,RPG Blog ,http://rpgblog.typepad.com/
,RPG Resource ,http://www.rpg-resource.org.uk/
,RPGMP3.com ,http://www.rpgmp3.com/
,Strolen's Citadel - The Idea Guild ,http://www.strolen.com/
,Styles of Roleplaying ,http://www.darkshire.net/~jhkim/rpg/theory/
,LivingInternet.com ,http://www.livinginternet.com/
,World Wide Web Consortium ,http://www.w3.org/
,ABC News: Top Stories ,http://feeds.abcnews.com/abcnews/topstories
,ABCNews.com ,http://abcnews.go.com/
,Al Arabiya News Channel ,http://www.alarabiya.net/
,Aljazeera ,http://www.aljazeera.com/
,AOL News ,http://www.aol.com/news/
,AP: Top Headlines ,http://hosted.ap.org/lineups/TOPHEADS-rss_2.0.xml?SITE=RANDOM&SECTION=HOME
,Associated Press ,http://hosted.ap.org/dynamic/fronts/HOME?SITE=AP&SECTION=HOME
,BBC News ,http://www.bbc.co.uk/news/
,BBC News ,http://feeds.bbci.co.uk/news/rss.xml
,BBC News: News Front Page: World Edition ,http://feeds.bbci.co.uk/news/rss.xml?edition=int
,C-SPAN ,https://www.c-span.org/
,CBC News ,http://www.cbc.ca/news/
,CBC News: Top Stories ,http://rss.cbc.ca/lineup/topstories.xml
,CBS News ,http://cbsnews.com/
,CBS News: Breaking News ,http://feeds.cbsnews.com/CBSNewsMain?format=xml
,Christian Science Monitor ,http://www.csmonitor.com/
,Christian Science Monitor: Top Stories ,http://www.csmonitor.com/rss/top.rss
